zipcode,freq
10000,4
10001,273
10002,906
10003,415
10004,39
10005,24
10006,26
10007,78
10009,566
10010,234
10011,368
10012,209
10013,234
10014,262
10016,413
10017,133
10018,101
10019,380
10020,2
10021,234
10022,228
10023,284
10024,436
10025,755
10026,690
10027,835
10028,221
10029,934
10030,640
10031,1315
10032,1056
10033,1074
10034,865
10035,486
10036,293
10037,265
10038,125
10039,482
10040,883
10041,2
10044,5
10048,1
10065,144
10069,4
10075,98
10118,2
10121,1
10128,262
10151,3
10167,1
10168,1
10172,1
10278,3
10279,1
10280,10
10281,3
10282,12
10301,609
10302,130
10303,228
10304,394
10305,478
10306,468
10307,104
10308,206
10309,222
10310,230
10312,391
10314,655
10451,1048
10452,1466
10453,1878
10454,505
10455,675
10456,1395
10457,1489
10458,1682
10459,864
10460,1141
10461,824
10462,1425
10463,1128
10464,48
10465,375
10466,1012
10467,2144
10468,1697
10469,610
10470,342
10471,394
10472,1008
10473,613
10474,319
10475,113
11001,17
11004,62
11005,1
11040,25
11101,692
11102,392
11103,444
11104,281
11105,345
11106,472
11109,6
11201,531
11203,1155
11204,800
11205,445
11206,1146
11207,1205
11208,1073
11209,979
11210,737
11211,666
11212,1052
11213,1084
11214,1036
11215,578
11216,877
11217,406
11218,821
11219,665
11220,930
11221,1124
11222,392
11223,956
11224,304
11225,1207
11226,2281
11228,387
11229,844
11230,1122
11231,370
11232,355
11233,1109
11234,689
11235,871
11236,759
11237,777
11238,687
11239,52
11249,251
11251,1
11354,431
11355,685
11356,233
11357,253
11358,374
11360,104
11361,255
11362,103
11363,66
11364,179
11365,328
11366,305
11367,295
11368,839
11369,303
11370,265
11372,558
11373,1104
11374,458
11375,620
11377,950
11378,525
11379,385
11385,1389
11411,173
11412,193
11413,240
11414,205
11415,236
11416,274
11417,294
11418,444
11419,566
11420,499
11421,430
11422,275
11423,209
11426,70
11427,146
11428,104
11429,181
11430,14
11432,599
11433,311
11434,545
11435,549
11436,170
11691,675
11692,134
11693,134
11694,209
11697,2
12345,2
